Bank Ticker,BAC,BAC,BAC,BAC,BAC,MS,MS,MS,MS,MS,C,C,C,C,C,WFC,WFC,WFC,WFC,WFC,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-03,39.4871,39.7023,38.839,39.6217,19363961.221935,37.4934,38.3558,37.206,38.2361,6806387.0339791,405.492,408.615,398.112,407.891,1858096.6541646,22.743,23.0144,22.4559,22.9581,15307243.497201,104.109,106.354,102.071,105.883,7508234.9337273,28.7148,29.097,28.3376,28.9771,17806952.38096
2006-01-04,39.5549,39.7592,39.0904,39.2004,21100313.304381,38.4971,38.8778,38.2675,38.2675,10098567.092195,404.358,406.325,400.089,400.354,2260921.3977703,22.8831,22.8979,22.5683,22.6917,15103823.211465,104.609,105.922,103.865,104.432,5917172.6683916,28.6824,28.9428,28.4201,28.5626,18712516.215388
2006-01-05,39.2004,39.4126,38.9834,39.2525,17613119.673364,38.2675,38.4264,38.0448,38.3715,7313990.41599,400.843,403.663,400.52,402.321,1371893.211676,22.669,22.7055,22.5308,22.669,14077260.986879,103.531,104.599,103.198,104.394,4521468.0689838,28.5556,28.703,28.481,28.652,11182709.326501
2006-01-06,39.385,39.4774,39.0089,39.1917,14965291.680845,38.5432,38.5922,38.0703,38.4108,8721337.4729951,404.504,404.641,398.865,402.321,1655811.8808812,22.7302,22.8643,22.592,22.7983,11677045.107984,104.579,106.187,104.579,105.855,5257603.5653572,28.7846,29.0125,28.5164,28.8543,11041513.213789
2006-01-09,39.3182,39.5294,39.0158,39.2181,18559184.359594,38.447,38.8846,38.4412,38.812,5246244.0263486,402.174,403.329,399.678,400.432,2031072.2109612,22.7983,22.8979,22.7055,22.7983,7808414.5972853,105.56,107.323,105.158,107.128,5749208.8290846,28.7522,29.3593,28.7522,29.3229,22989421.863207
2006-01-10,39.0502,39.1425,38.6132,38.8901,18576887.59725,38.5922,38.8366,38.4196,38.8366,5966636.6672216,399.678,401.763,397.867,401.685,1650579.5150924,22.7055,22.7983,22.6344,22.7785,9945736.6845651,106.853,109.236,106.824,108.461,6739112.9723113,29.1992,29.3789,28.8887,29.3662,23044487.705906
2006-01-11,38.7644,38.9224,38.5022,38.7998,17516878.621073,38.7856,39.2702,38.5844,39.0632,7389814.0317452,410.28,410.28,402.028,405.326,2035418.8951532,22.7785,22.9542,22.7213,22.8979,11181274.473716,108.0,109.931,107.98,108.412,5676055.5675684,29.3662,29.4703,29.2787,29.3475,16946743.892932
2006-01-12,38.898,38.9068,38.4698,38.5435,12383283.888058,39.1083,39.1966,38.869,39.0024,4832571.6204088,406.325,406.325,404.504,405.728,1486369.8565451,22.8141,22.8782,22.6206,22.6344,14817304.791,107.97,109.46,107.952,108.656,4526701.5377787,29.0204,29.1432,28.7659,28.8032,16961304.548024
2006-01-13,38.571,38.7143,38.4442,38.5435,12822092.008316,39.0632,39.1299,38.7356,38.9386,4342950.2283045,406.325,407.059,403.27,404.817,1136971.0204727,22.7055,22.8831,22.6768,22.7578,8844699.0665063,108.461,109.823,108.353,109.49,3523524.4442527,28.6824,28.8622,28.5871,28.7846,15203028.850856
2006-01-17,38.2086,38.3618,37.8698,38.133,17355039.359603,38.9876,38.9955,38.4794,38.5668,3322436.1169614,401.44,402.996,399.434,400.774,1495708.8428865,22.6424,22.7213,22.4559,22.5229,14854266.345183,107.637,109.383,107.295,108.922,4408032.7093808,28.4662,28.7089,28.4132,28.6323,13788022.251517
2006-01-18,38.1428,38.4178,37.8059,38.0888,12912403.46884,38.3931,38.6236,38.0703,38.3293,3674592.4228653,400.774,402.752,398.112,400.167,1468312.9846821,22.5229,22.9137,22.5229,22.8831,14979877.259454,107.687,109.0,107.647,108.756,5237036.002382,28.198,28.6323,28.0802,28.3208,24706370.950282
2006-01-19,38.6132,38.6132,37.746,37.9896,17033742.652762,38.5275,39.333,38.505,38.9219,4826629.2668686,401.842,402.028,394.715,396.732,2049996.3765678,22.8831,22.8979,22.5042,22.5229,12107235.685802,109.039,110.744,109.029,109.95,6098775.7702025,28.3641,28.4584,27.974,28.1646,16771147.787246
2006-01-20,37.8698,37.9975,37.1725,37.1902,29654201.046754,38.8905,39.0475,37.6504,37.9329,6893983.2369365,390.652,392.219,377.603,378.074,5778227.5994723,22.5308,22.5308,22.1312,22.1312,25241583.854565,109.156,110.137,107.834,107.99,6913287.7932045,27.98,27.9878,27.31,27.4338,28991323.891996
2006-01-23,36.6069,37.3552,36.5971,36.9977,27875076.068451,37.8437,38.4892,37.8437,38.3558,4811429.8884825,378.074,383.8,378.074,380.668,2446291.3891853,22.1312,22.2881,22.1312,22.1638,9792057.5264007,108.137,110.254,108.137,109.166,4683471.9372963,27.4976,27.9014,27.3758,27.5938,18269787.817248
2006-01-24,37.0979,37.6037,37.0616,37.2354,16041339.983816,38.5746,38.9876,38.4412,38.4892,4827382.5085952,383.046,383.624,380.58,380.726,2518073.4819702,22.1796,22.296,22.0661,22.1638,11438330.257061,108.95,110.167,108.726,109.284,4574051.7267883,27.5938,27.7776,27.4612,27.476,13566800.045553
2006-01-25,37.1539,37.5772,37.1539,37.5585,17980163.745847,38.6943,38.971,38.3931,38.8052,5078147.7894469,381.822,383.712,380.726,382.557,1923766.8288483,22.1934,22.3631,22.1174,22.3078,11922986.280201,109.813,110.117,108.833,109.744,4552752.5597722,27.5123,27.8906,27.4406,27.7422,19762739.980023
2006-01-26,37.8698,38.0073,37.5939,37.7883,21921610.13362,39.6685,39.6763,39.0102,39.3241,7329685.160383,385.219,393.481,384.388,389.037,2403054.3954311,22.4835,22.669,22.4381,22.517,11946885.531554,109.293,113.675,109.293,112.881,5852298.6749204,27.9072,28.703,27.9072,28.5409,22452381.542092
2006-01-27,37.7883,37.9631,37.5428,37.7028,14556538.841543,39.3507,40.0031,39.2055,39.8539,4683710.0582337,389.037,391.974,385.62,387.872,1707238.6201505,22.517,22.743,22.3404,22.5604,10615751.750359,113.322,114.811,112.655,114.164,4487633.6779189,28.2992,28.8681,28.2384,28.6598,17932889.578575
2006-01-30,37.6606,38.1664,37.2452,37.4367,17600052.779744,40.2964,40.5594,39.7676,39.7853,5375487.6676682,387.872,388.871,386.13,387.431,1278083.4922798,22.5604,22.5683,22.4153,22.4755,7998493.9042196,114.665,115.556,113.959,114.909,3856665.4971544,28.4958,28.8199,28.4201,28.7286,12069126.993695
2006-01-31,37.5772,37.6479,37.1313,37.2266,20728637.97939,39.6763,40.5976,39.6685,40.2964,6554995.9203532,387.529,389.34,385.219,385.444,2112447.6553905,22.3976,22.5229,22.3927,22.4381,13596773.956279,114.802,116.556,113.744,116.046,5971578.7039047,28.8622,28.9771,28.652,28.6598,21610758.373973
2006-02-01,37.1156,37.2354,36.9113,36.9899,18832948.6116,40.3122,40.629,39.9324,40.5505,4539278.2505159,385.523,386.629,381.558,383.379,2228903.0375756,22.2723,22.296,22.1312,22.2526,11422492.341551,116.164,117.439,115.389,116.438,4424828.9912747,28.6598,28.9978,28.6028,28.7522,15847975.78977
2006-02-02,36.9899,37.0047,36.5018,36.5598,17519722.747777,40.4318,40.7448,39.903,40.1758,4392190.2209583,379.825,381.49,373.218,373.874,2810126.7331308,22.1796,22.2318,22.0237,22.0581,13659573.333212,116.899,118.123,116.164,117.095,4516840.6989341,28.7522,28.9594,28.5409,28.8347,14298570.425127
2006-02-03,36.4429,36.6521,35.9775,36.2642,20315015.604139,39.7353,40.7526,39.5841,40.2876,5014727.6900262,372.964,377.427,370.81,372.876,2010250.0102834,21.8983,22.1124,21.8124,21.9663,10466240.571367,116.291,117.585,115.596,117.272,5086351.0791549,28.4427,28.9093,28.4063,28.5026,14481097.21942
2006-02-06,36.5254,36.7355,36.3899,36.5018,14917641.102595,40.1669,40.5976,40.1532,40.478,3328508.9372688,374.54,377.427,373.12,373.776,1386587.1494943,21.8983,22.0237,21.8342,21.9663,10129433.805059,117.174,118.418,116.33,117.33,4685179.0133918,28.4063,28.5498,28.3444,28.4338,9142728.4673262
2006-02-07,36.6953,36.9202,36.5725,36.5971,16533146.821763,40.2366,40.3612,39.5243,39.6969,4825233.8840219,374.031,375.518,372.395,372.787,1459045.5066588,21.9515,22.0789,21.9141,22.0009,11247974.300889,116.958,117.752,114.615,114.615,6338551.0867666,28.2619,28.5498,28.1568,28.3071,11914893.97987
2006-02-08,36.6521,36.7935,36.4734,36.7502,13191157.416821,40.1022,40.2444,39.8697,40.1758,3441803.0162905,375.117,376.792,372.964,375.342,1270488.2873521,21.9515,22.1174,21.8726,22.0661,8231928.0988163,115.085,116.615,114.468,115.949,5454537.7002435,28.3208,28.5626,28.2992,28.5498,13960286.863031
2006-02-09,36.82,37.0704,36.7758,36.8867,16357170.427801,40.1758,40.5898,40.0698,40.1248,3435475.3780783,376.527,381.49,375.92,378.915,1640748.1429035,22.0295,22.1796,21.9515,22.0295,9799559.4835651,115.949,117.349,115.429,115.703,3723873.7516984,28.5026,28.8622,28.4338,28.6755,11784250.143378
